category,item,price,description
Khai Vi,Cha Gio,7.95,"3 pieces. Crispy spring rolls with pork and shrimp."
Khai Vi,Goi Cuon,8.95,"2 pieces. Summer rolls with shrimp and pork."
Khai Vi,Chuoi Chien,8.95,"Fried banana"
Khai Vi,Thit Nuong Cuon,8.95,"Grilled pork roll"
Khai Vi,Ga Nuong Cuon,8.95,"Grilled chicken roll"
Khai Vi,Dau Hu Cuon,8.95,"Tofu roll"
Khai Vi,Bo Cuon,8.95,"Beef roll"
Khai Vi,Crab Rangoon,8.95,""
Khai Vi,Sui Cao Thit Heo,8.95,"Pork dumpling"
Khai Vi,Sui Cao Cong Sa Thit Ga,8.95,"Chicken lemongrass dumpling"
Khai Vi,Sui Cao Thit Ga,8.95,"Chicken teriyaki dumpling"
Khai Vi,Canh Ga Bo,11.95,"Butter chicken"
Khai Vi,Canh Ga Moi Va Tieu,11.95,"6 pieces. Salt and pepper wings"
Khai Vi,Goi Sen Tom,15.95,"Lotus rootlet salad with shrimp"
Khai Vi,Half Ga Tuoi,19.95,"Fresh steamed chicken"
Khai Vi,Steamed Dumpling,16.95,"12 pieces. Pork, chicken lemongrass and chicken teriyaki"
Khai Vi,Chien Chim Cuc,14.95,"2 pieces. Crispy fried quail"
Khai Vi,Goi Ga,14.95,"Chicken salad"
Khai Vi,Bo Tai Chanh,16.95,"Fresh beef carpaccio marinated with basil & lime juice"
Khai Vi,Vegetarian Spring Roll,7.95,"Salty chicken"
Khai Vi,Shrimp Tempura,21.95,""

Banh Mi,Banh Mi Pate Cha Lua,11.95,"Vietnamese hoagie with pate and pork roll"
Banh Mi,Banh Mi Ga Nuong,11.95,"Vietnamese hoagie with grilled chicken"
Banh Mi,Banh Mi Thit Dac Biet,11.95,"House special Vietnamese hoagie"
Banh Mi,Banh Mi Tofu,11.95,"Vietnamese hoagie with tofu"
Banh Mi,Banh Mi Thit Nuong,11.95,"Vietnamese hoagie with grilled pork"
Banh Mi,Banh Mi Bo Nuong,11.95,"Vietnamese hoagie with grilled beef"

Pho,Pho Dac Biet,17.95,"Steak, flank, tripe, meatball, tendon and fat brisket"
Pho,Pho Tai,16.95,"Beef eye round pho"
Pho,Pho Tai Nam,16.95,"Brisket and eye round pho"
Pho,Pho Tai Gan,16.95,"Tendon and eye round pho"
Pho,Pho Tai Bo Vien,16.95,"Beef ball and eye round pho"
Pho,Pho Tai Gau,16.95,"Fat brisket and eye round pho"
Pho,Pho Tai Sach,16.95,"Tripe and eye round pho"
Pho,Pho Bo Vien,16.95,"Beef balls pho"
Pho,Pho Tom,16.25,"Shrimp pho"
Pho,Pho Ca Vien,16.95,"Fish meat balls pho"
Pho,Pho Tom Nuong,16.25,"Grilled shrimp pho"
Pho,Pho Thit Nuong,16.95,"Grilled pork pho"
Pho,Pho Ga Nuong,16.95,"Grilled chicken pho"
Pho,Pho Sui Cao Sa Thit Ga,16.95,"Chicken lemongrass dumpling pho"
Pho,Pho Sui Cao Teriyaki Ga,16.95,"Chicken teriyaki dumpling pho"
Pho,Pho Sui Cao Thit,16.95,"Pork dumpling pho"
Pho,Pho Dau Hu,16.95,"Tofu pho"
Pho,Pho Rau Cai,16.95,"Vegetable pho"
Pho,Pho Ga,16.95,"Chicken pho"
Pho,Pho Ga Tuoi,16.25,"Fresh chicken with bone and skin"
Pho,Pho Suon Nuong,17.25,"Pork chop pho"
Pho,Pho Do Bien,18.95,"Seafood pho"
Pho,Short Rib Pho,26.95,""

Bun Kho,Bun Dac Biet,16.25,"Grilled pork, shrimp, chicken and spring rolls"
Bun Kho,Bun Thit Nuong,15.25,"Vermicelli with grilled pork"
Bun Kho,Bun Ga Nuong,15.25,"Vermicelli with grilled chicken"
Bun Kho,Bun Tom Nuong,16.25,"Vermicelli with grilled shrimp"
Bun Kho,Bun Ga Nuong Cha Gio,15.25,"Grilled chicken and spring roll"
Bun Kho,Bun Thit Nuong Cha Gio,15.25,"Grilled pork and spring roll"
Bun Kho,Bun Bo Xao Sa,15.25,"Lemongrass beef"
Bun Kho,Bun Cha Gio,15.25,"Vermicelli with spring roll"
Bun Kho,Bun Dau Hu Xao Sa,15.25,"Lemongrass tofu"
Bun Kho,Bun Bi Cha Gio,15.25,"Shredded pork and spring roll"
Bun Kho,Bun Thit Xao Sa,15.25,"Lemongrass pork"
Bun Kho,Bun Tom Xao Sa,15.25,"Lemongrass shrimp"
Bun Kho,Bun Thit Tom Nuong,16.25,"Grilled pork and shrimp"
Bun Kho,Bun Ga Xao Sa,15.25,"Lemongrass chicken"
Bun Kho,Bun Bo Nuong La Lot,16.95,"Beef in grape leaves"

Drinks,Pearls Milk Iced Coffee,7.95,""
Drinks,Strawberry Smoothies,7.95,""
Drinks,Mango Smoothies,7.95,""
Drinks,Avocado Smoothies,7.95,""
Drinks,Coconut Smoothies,7.95,""
Drinks,Strawberry Smoothies w/ Pearls,8.95,""
Drinks,Mango Smoothies w/ Pearls,8.95,""
Drinks,Avocado Smoothies w/ Pearls,8.95,""
Drinks,Coconut Smoothies w/ Pearls,8.95,""
Drinks,Pepsi,3.50,""
Drinks,Coke,3.50,""
Drinks,Sprite,3.50,""
Drinks,Ginger Ale,3.50,""
Drinks,Diet Coke,3.50,""
